# wavelength[nm] / analyte_index / effective index isolated plasmonic lossy
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.251127+0.137705j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.248187+0.137609j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.245268+0.137514j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.242367+0.137420j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.239487+0.137327j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.236626+0.137235j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.233785+0.137144j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.230963+0.137054j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.228160+0.136964j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.225376+0.136875j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.222611+0.136786j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.219866+0.136698j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.217138+0.136610j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.214430+0.136523j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.211740+0.136435j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.209068+0.136348j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.206414+0.136261j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.203779+0.136174j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.201161+0.136086j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.198561+0.135998j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.195979+0.135911j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.193415+0.135822j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.190868+0.135733j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.188338+0.135644j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.185826+0.135554j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.183330+0.135463j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.180852+0.135371j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.178390+0.135279j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.175945+0.135185j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.173516+0.135091j)
 (1372.289157+0.000000j)	 (1.420000+0.000000j)	 (2.171104+0.134995j)
 (1374.698795+0.000000j)	 (1.420000+0.000000j)	 (2.168708+0.134898j)
 (1377.108434+0.000000j)	 (1.420000+0.000000j)	 (2.166328+0.134800j)
 (1379.518072+0.000000j)	 (1.420000+0.000000j)	 (2.163964+0.134701j)
 (1381.927711+0.000000j)	 (1.420000+0.000000j)	 (2.161616+0.134599j)
 (1384.337349+0.000000j)	 (1.420000+0.000000j)	 (2.159284+0.134497j)
 (1386.746988+0.000000j)	 (1.420000+0.000000j)	 (2.156967+0.134393j)
 (1389.156627+0.000000j)	 (1.420000+0.000000j)	 (2.154665+0.134287j)
 (1391.566265+0.000000j)	 (1.420000+0.000000j)	 (2.152379+0.134179j)
 (1393.975904+0.000000j)	 (1.420000+0.000000j)	 (2.150108+0.134069j)
 (1396.385542+0.000000j)	 (1.420000+0.000000j)	 (2.147851+0.133958j)
 (1398.795181+0.000000j)	 (1.420000+0.000000j)	 (2.145610+0.133844j)
 (1401.204819+0.000000j)	 (1.420000+0.000000j)	 (2.143383+0.133729j)
 (1403.614458+0.000000j)	 (1.420000+0.000000j)	 (2.141170+0.133611j)
 (1406.024096+0.000000j)	 (1.420000+0.000000j)	 (2.138972+0.133491j)
 (1408.433735+0.000000j)	 (1.420000+0.000000j)	 (2.136788+0.133369j)
 (1410.843373+0.000000j)	 (1.420000+0.000000j)	 (2.134618+0.133244j)
 (1413.253012+0.000000j)	 (1.420000+0.000000j)	 (2.132462+0.133117j)
 (1415.662651+0.000000j)	 (1.420000+0.000000j)	 (2.130319+0.132988j)
 (1418.072289+0.000000j)	 (1.420000+0.000000j)	 (2.128190+0.132856j)
 (1420.481928+0.000000j)	 (1.420000+0.000000j)	 (2.126074+0.132721j)
 (1422.891566+0.000000j)	 (1.420000+0.000000j)	 (2.123972+0.132584j)
 (1425.301205+0.000000j)	 (1.420000+0.000000j)	 (2.121882+0.132444j)
 (1427.710843+0.000000j)	 (1.420000+0.000000j)	 (2.119805+0.132302j)
 (1430.120482+0.000000j)	 (1.420000+0.000000j)	 (2.117741+0.132157j)
 (1432.530120+0.000000j)	 (1.420000+0.000000j)	 (2.115690+0.132008j)
 (1434.939759+0.000000j)	 (1.420000+0.000000j)	 (2.113651+0.131858j)
 (1437.349398+0.000000j)	 (1.420000+0.000000j)	 (2.111624+0.131704j)
 (1439.759036+0.000000j)	 (1.420000+0.000000j)	 (2.109609+0.131547j)
 (1442.168675+0.000000j)	 (1.420000+0.000000j)	 (2.107606+0.131387j)
