# wavelength[nm] / analyte_index / effective index supermode 2 lossless
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.265796-0.000000j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.262801-0.000000j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.259822-0.000000j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.256860-0.000000j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.253914+0.000000j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.250984+0.000000j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.248071+0.000000j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.245173+0.000000j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.242290+0.000000j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.239422+0.000000j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.236570+0.000000j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.233732+0.000000j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.230908-0.000000j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.228098-0.000000j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.225303+0.000000j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.222520+0.000000j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.219751-0.000000j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.216995-0.000000j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.214251-0.000000j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.211520+0.000000j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.208800+0.000000j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.206093-0.000000j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.203396-0.000000j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.200711+0.000000j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.198036+0.000000j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.195372-0.000000j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.192718-0.000000j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.190073-0.000000j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.187438-0.000000j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.184812+0.000000j)
 (1372.289157+0.000000j)	 (1.420000+0.000000j)	 (2.182194+0.000000j)
 (1374.698795+0.000000j)	 (1.420000+0.000000j)	 (2.179585+0.000000j)
 (1377.108434+0.000000j)	 (1.420000+0.000000j)	 (2.176984-0.000000j)
 (1379.518072+0.000000j)	 (1.420000+0.000000j)	 (2.174390-0.000000j)
 (1381.927711+0.000000j)	 (1.420000+0.000000j)	 (2.171803+0.000000j)
 (1384.337349+0.000000j)	 (1.420000+0.000000j)	 (2.169223+0.000000j)
 (1386.746988+0.000000j)	 (1.420000+0.000000j)	 (2.166650+0.000000j)
 (1389.156627+0.000000j)	 (1.420000+0.000000j)	 (2.164082-0.000000j)
 (1391.566265+0.000000j)	 (1.420000+0.000000j)	 (2.161521-0.000000j)
 (1393.975904+0.000000j)	 (1.420000+0.000000j)	 (2.158964-0.000000j)
 (1396.385542+0.000000j)	 (1.420000+0.000000j)	 (2.156412-0.000000j)
 (1398.795181+0.000000j)	 (1.420000+0.000000j)	 (2.153865+0.000000j)
 (1401.204819+0.000000j)	 (1.420000+0.000000j)	 (2.151322+0.000000j)
 (1403.614458+0.000000j)	 (1.420000+0.000000j)	 (2.148782+0.000000j)
 (1406.024096+0.000000j)	 (1.420000+0.000000j)	 (2.146246-0.000000j)
 (1408.433735+0.000000j)	 (1.420000+0.000000j)	 (2.143713-0.000000j)
 (1410.843373+0.000000j)	 (1.420000+0.000000j)	 (2.141181+0.000000j)
 (1413.253012+0.000000j)	 (1.420000+0.000000j)	 (2.138652+0.000000j)
 (1415.662651+0.000000j)	 (1.420000+0.000000j)	 (2.136125+0.000000j)
 (1418.072289+0.000000j)	 (1.420000+0.000000j)	 (2.133599+0.000000j)
 (1420.481928+0.000000j)	 (1.420000+0.000000j)	 (2.131074+0.000000j)
 (1422.891566+0.000000j)	 (1.420000+0.000000j)	 (2.128549+0.000000j)
 (1425.301205+0.000000j)	 (1.420000+0.000000j)	 (2.126024+0.000000j)
 (1427.710843+0.000000j)	 (1.420000+0.000000j)	 (2.123499+0.000000j)
 (1430.120482+0.000000j)	 (1.420000+0.000000j)	 (2.120973-0.000000j)
 (1432.530120+0.000000j)	 (1.420000+0.000000j)	 (2.118446+0.000000j)
 (1434.939759+0.000000j)	 (1.420000+0.000000j)	 (2.115918-0.000000j)
 (1437.349398+0.000000j)	 (1.420000+0.000000j)	 (2.113387-0.000000j)
 (1439.759036+0.000000j)	 (1.420000+0.000000j)	 (2.110855-0.000000j)
 (1442.168675+0.000000j)	 (1.420000+0.000000j)	 (2.108320-0.000000j)
 (1444.578313+0.000000j)	 (1.420000+0.000000j)	 (2.105782+0.000000j)
 (1446.987952+0.000000j)	 (1.420000+0.000000j)	 (2.103241+0.000000j)
 (1449.397590+0.000000j)	 (1.420000+0.000000j)	 (2.100696-0.000000j)
 (1451.807229+0.000000j)	 (1.420000+0.000000j)	 (2.098148-0.000000j)
 (1454.216867+0.000000j)	 (1.420000+0.000000j)	 (2.095595+0.000000j)
 (1456.626506+0.000000j)	 (1.420000+0.000000j)	 (2.093038+0.000000j)
 (1459.036145+0.000000j)	 (1.420000+0.000000j)	 (2.090477+0.000000j)
 (1461.445783+0.000000j)	 (1.420000+0.000000j)	 (2.087910+0.000000j)
 (1463.855422+0.000000j)	 (1.420000+0.000000j)	 (2.085339+0.000000j)
 (1466.265060+0.000000j)	 (1.420000+0.000000j)	 (2.082762-0.000000j)
 (1468.674699+0.000000j)	 (1.420000+0.000000j)	 (2.080179+0.000000j)
 (1471.084337+0.000000j)	 (1.420000+0.000000j)	 (2.077591-0.000000j)
 (1473.493976+0.000000j)	 (1.420000+0.000000j)	 (2.074996+0.000000j)
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.072396-0.000000j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.069789-0.000000j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.067177-0.000000j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.064557-0.000000j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.061932-0.000000j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.059299-0.000000j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.056660+0.000000j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.054015-0.000000j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.051363-0.000000j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.048704+0.000000j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.046039+0.000000j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.043367+0.000000j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.040688-0.000000j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.038004+0.000000j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.035313+0.000000j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.032616-0.000000j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.029912+0.000000j)
 (1516.867470+0.000000j)	 (1.420000+0.000000j)	 (2.027203+0.000000j)
 (1519.277108+0.000000j)	 (1.420000+0.000000j)	 (2.024488+0.000000j)
 (1521.686747+0.000000j)	 (1.420000+0.000000j)	 (2.021768-0.000000j)
 (1524.096386+0.000000j)	 (1.420000+0.000000j)	 (2.019042-0.000000j)
 (1526.506024+0.000000j)	 (1.420000+0.000000j)	 (2.016311+0.000000j)
 (1528.915663+0.000000j)	 (1.420000+0.000000j)	 (2.013575+0.000000j)
 (1531.325301+0.000000j)	 (1.420000+0.000000j)	 (2.010834-0.000000j)
 (1533.734940+0.000000j)	 (1.420000+0.000000j)	 (2.008089+0.000000j)
 (1536.144578+0.000000j)	 (1.420000+0.000000j)	 (2.005339+0.000000j)
 (1538.554217+0.000000j)	 (1.420000+0.000000j)	 (2.002585+0.000000j)
 (1540.963855+0.000000j)	 (1.420000+0.000000j)	 (1.999827-0.000000j)
 (1543.373494+0.000000j)	 (1.420000+0.000000j)	 (1.997065-0.000000j)
 (1545.783133+0.000000j)	 (1.420000+0.000000j)	 (1.994300+0.000000j)
 (1548.192771+0.000000j)	 (1.420000+0.000000j)	 (1.991532+0.000000j)
 (1550.602410+0.000000j)	 (1.420000+0.000000j)	 (1.988761+0.000000j)
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (1.985987+0.000000j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (1.983212+0.000000j)
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (1.980434+0.000000j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (1.977654-0.000000j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (1.974872-0.000000j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (1.972090+0.000000j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (1.969306-0.000000j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (1.966522-0.000000j)
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (1.963738+0.000000j)
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (1.960953+0.000000j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (1.958168-0.000000j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (1.955384+0.000000j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (1.952601+0.000000j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (1.949818+0.000000j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (1.947037-0.000000j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (1.944257-0.000000j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (1.941479-0.000000j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (1.938703+0.000000j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (1.935929+0.000000j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (1.933158+0.000000j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (1.930390+0.000000j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (1.927625+0.000000j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (1.924863+0.000000j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (1.922104+0.000000j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (1.919349-0.000000j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (1.916599+0.000000j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (1.913852-0.000000j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (1.911110-0.000000j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (1.908373-0.000000j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (1.905641-0.000000j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (1.902914-0.000000j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (1.900192+0.000000j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (1.897476-0.000000j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (1.894765-0.000000j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (1.892061-0.000000j)
