# wavelength[nm] / analyte_index / effective index isolated dielectric
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.409948-0.000000j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.406479+0.000000j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.403012+0.000000j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.399545+0.000000j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.396079-0.000000j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.392615+0.000000j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.389152+0.000000j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.385690+0.000000j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.382230+0.000000j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.378772+0.000000j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.375315+0.000000j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.371860-0.000000j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.368407+0.000000j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.364956-0.000000j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.361508+0.000000j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.358061+0.000000j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.354616+0.000000j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.351174+0.000000j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.347734+0.000000j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.344297-0.000000j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.340862+0.000000j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.337430+0.000000j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.334000-0.000000j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.330574+0.000000j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.327150+0.000000j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.323730+0.000000j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.320312+0.000000j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.316898+0.000000j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.313487-0.000000j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.310079-0.000000j)
 (1372.289157+0.000000j)	 (1.420000+0.000000j)	 (2.306675+0.000000j)
 (1374.698795+0.000000j)	 (1.420000+0.000000j)	 (2.303275-0.000000j)
 (1377.108434+0.000000j)	 (1.420000+0.000000j)	 (2.299878-0.000000j)
 (1379.518072+0.000000j)	 (1.420000+0.000000j)	 (2.296484+0.000000j)
 (1381.927711+0.000000j)	 (1.420000+0.000000j)	 (2.293095+0.000000j)
 (1384.337349+0.000000j)	 (1.420000+0.000000j)	 (2.289710+0.000000j)
 (1386.746988+0.000000j)	 (1.420000+0.000000j)	 (2.286328-0.000000j)
 (1389.156627+0.000000j)	 (1.420000+0.000000j)	 (2.282951+0.000000j)
 (1391.566265+0.000000j)	 (1.420000+0.000000j)	 (2.279578-0.000000j)
 (1393.975904+0.000000j)	 (1.420000+0.000000j)	 (2.276209+0.000000j)
 (1396.385542+0.000000j)	 (1.420000+0.000000j)	 (2.272844+0.000000j)
 (1398.795181+0.000000j)	 (1.420000+0.000000j)	 (2.269484+0.000000j)
 (1401.204819+0.000000j)	 (1.420000+0.000000j)	 (2.266129-0.000000j)
 (1403.614458+0.000000j)	 (1.420000+0.000000j)	 (2.262778+0.000000j)
 (1406.024096+0.000000j)	 (1.420000+0.000000j)	 (2.259432+0.000000j)
 (1408.433735+0.000000j)	 (1.420000+0.000000j)	 (2.256091+0.000000j)
 (1410.843373+0.000000j)	 (1.420000+0.000000j)	 (2.252754+0.000000j)
 (1413.253012+0.000000j)	 (1.420000+0.000000j)	 (2.249423+0.000000j)
 (1415.662651+0.000000j)	 (1.420000+0.000000j)	 (2.246097-0.000000j)
 (1418.072289+0.000000j)	 (1.420000+0.000000j)	 (2.242775+0.000000j)
 (1420.481928+0.000000j)	 (1.420000+0.000000j)	 (2.239459+0.000000j)
 (1422.891566+0.000000j)	 (1.420000+0.000000j)	 (2.236149+0.000000j)
 (1425.301205+0.000000j)	 (1.420000+0.000000j)	 (2.232844-0.000000j)
 (1427.710843+0.000000j)	 (1.420000+0.000000j)	 (2.229544+0.000000j)
 (1430.120482+0.000000j)	 (1.420000+0.000000j)	 (2.226250+0.000000j)
 (1432.530120+0.000000j)	 (1.420000+0.000000j)	 (2.222962-0.000000j)
 (1434.939759+0.000000j)	 (1.420000+0.000000j)	 (2.219680+0.000000j)
 (1437.349398+0.000000j)	 (1.420000+0.000000j)	 (2.216403-0.000000j)
 (1439.759036+0.000000j)	 (1.420000+0.000000j)	 (2.213132+0.000000j)
 (1442.168675+0.000000j)	 (1.420000+0.000000j)	 (2.209868+0.000000j)
 (1444.578313+0.000000j)	 (1.420000+0.000000j)	 (2.206609+0.000000j)
 (1446.987952+0.000000j)	 (1.420000+0.000000j)	 (2.203357+0.000000j)
 (1449.397590+0.000000j)	 (1.420000+0.000000j)	 (2.200111+0.000000j)
 (1451.807229+0.000000j)	 (1.420000+0.000000j)	 (2.196872+0.000000j)
 (1454.216867+0.000000j)	 (1.420000+0.000000j)	 (2.193639+0.000000j)
 (1456.626506+0.000000j)	 (1.420000+0.000000j)	 (2.190412+0.000000j)
 (1459.036145+0.000000j)	 (1.420000+0.000000j)	 (2.187192-0.000000j)
 (1461.445783+0.000000j)	 (1.420000+0.000000j)	 (2.183979+0.000000j)
 (1463.855422+0.000000j)	 (1.420000+0.000000j)	 (2.180773+0.000000j)
 (1466.265060+0.000000j)	 (1.420000+0.000000j)	 (2.177574+0.000000j)
 (1468.674699+0.000000j)	 (1.420000+0.000000j)	 (2.174381+0.000000j)
 (1471.084337+0.000000j)	 (1.420000+0.000000j)	 (2.171196+0.000000j)
 (1473.493976+0.000000j)	 (1.420000+0.000000j)	 (2.168017-0.000000j)
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.164846+0.000000j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.161683+0.000000j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.158526+0.000000j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.155377+0.000000j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.152236+0.000000j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.149102-0.000000j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.145976+0.000000j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.142857+0.000000j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.139747-0.000000j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.136644+0.000000j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.133549+0.000000j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.130463-0.000000j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.127384+0.000000j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.124314+0.000000j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.121252-0.000000j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.118198+0.000000j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.115153+0.000000j)
