# wavelength[nm] / analyte_index / effective index isolated plasmonic lossless
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.268210+0.000000j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.265306+0.000000j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.262422+0.000000j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.259558+0.000000j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.256714+0.000000j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.253890+0.000000j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.251085+0.000000j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.248299-0.000000j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.245533+0.000000j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.242785+0.000000j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.240057+0.000000j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.237348+0.000000j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.234657+0.000000j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.231985+0.000000j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.229331+0.000000j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.226695+0.000000j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.224078+0.000000j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.221478+0.000000j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.218896-0.000000j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.216332+0.000000j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.213785-0.000000j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.211256+0.000000j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.208744+0.000000j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.206249+0.000000j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.203770+0.000000j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.201309+0.000000j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.198864+0.000000j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.196435+0.000000j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.194023+0.000000j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.191626+0.000000j)
 (1372.289157+0.000000j)	 (1.420000+0.000000j)	 (2.189246+0.000000j)
 (1374.698795+0.000000j)	 (1.420000+0.000000j)	 (2.186881+0.000000j)
 (1377.108434+0.000000j)	 (1.420000+0.000000j)	 (2.184532+0.000000j)
 (1379.518072+0.000000j)	 (1.420000+0.000000j)	 (2.182198-0.000000j)
 (1381.927711+0.000000j)	 (1.420000+0.000000j)	 (2.179880+0.000000j)
 (1384.337349+0.000000j)	 (1.420000+0.000000j)	 (2.177576+0.000000j)
 (1386.746988+0.000000j)	 (1.420000+0.000000j)	 (2.175288+0.000000j)
 (1389.156627+0.000000j)	 (1.420000+0.000000j)	 (2.173014+0.000000j)
 (1391.566265+0.000000j)	 (1.420000+0.000000j)	 (2.170755+0.000000j)
 (1393.975904+0.000000j)	 (1.420000+0.000000j)	 (2.168510+0.000000j)
 (1396.385542+0.000000j)	 (1.420000+0.000000j)	 (2.166280+0.000000j)
 (1398.795181+0.000000j)	 (1.420000+0.000000j)	 (2.164063+0.000000j)
 (1401.204819+0.000000j)	 (1.420000+0.000000j)	 (2.161860+0.000000j)
 (1403.614458+0.000000j)	 (1.420000+0.000000j)	 (2.159671+0.000000j)
 (1406.024096+0.000000j)	 (1.420000+0.000000j)	 (2.157496+0.000000j)
 (1408.433735+0.000000j)	 (1.420000+0.000000j)	 (2.155334-0.000000j)
 (1410.843373+0.000000j)	 (1.420000+0.000000j)	 (2.153185+0.000000j)
 (1413.253012+0.000000j)	 (1.420000+0.000000j)	 (2.151049+0.000000j)
 (1415.662651+0.000000j)	 (1.420000+0.000000j)	 (2.148926-0.000000j)
 (1418.072289+0.000000j)	 (1.420000+0.000000j)	 (2.146815+0.000000j)
 (1420.481928+0.000000j)	 (1.420000+0.000000j)	 (2.144717+0.000000j)
 (1422.891566+0.000000j)	 (1.420000+0.000000j)	 (2.142631+0.000000j)
 (1425.301205+0.000000j)	 (1.420000+0.000000j)	 (2.140557+0.000000j)
 (1427.710843+0.000000j)	 (1.420000+0.000000j)	 (2.138495+0.000000j)
 (1430.120482+0.000000j)	 (1.420000+0.000000j)	 (2.136445+0.000000j)
 (1432.530120+0.000000j)	 (1.420000+0.000000j)	 (2.134406+0.000000j)
 (1434.939759+0.000000j)	 (1.420000+0.000000j)	 (2.132378-0.000000j)
 (1437.349398+0.000000j)	 (1.420000+0.000000j)	 (2.130362+0.000000j)
 (1439.759036+0.000000j)	 (1.420000+0.000000j)	 (2.128357-0.000000j)
 (1442.168675+0.000000j)	 (1.420000+0.000000j)	 (2.126362+0.000000j)
 (1444.578313+0.000000j)	 (1.420000+0.000000j)	 (2.124379+0.000000j)
 (1446.987952+0.000000j)	 (1.420000+0.000000j)	 (2.122405+0.000000j)
