# wavelength[nm] / analyte_index / effective index supermode 1 lossless
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.411820+0.000000j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.408420+0.000000j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.405023-0.000000j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.401630-0.000000j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.398240-0.000000j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.394855-0.000000j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.391474+0.000000j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.388097+0.000000j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.384725-0.000000j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.381357+0.000000j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.377995-0.000000j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.374638-0.000000j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.371286-0.000000j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.367939-0.000000j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.364599+0.000000j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.361264-0.000000j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.357936-0.000000j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.354614-0.000000j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.351298-0.000000j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.347990-0.000000j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.344688-0.000000j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.341394+0.000000j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.338107-0.000000j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.334829+0.000000j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.331558-0.000000j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.328296-0.000000j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.325042+0.000000j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.321797+0.000000j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.318561+0.000000j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.315335-0.000000j)
 (1372.289157+0.000000j)	 (1.420000+0.000000j)	 (2.312118-0.000000j)
 (1374.698795+0.000000j)	 (1.420000+0.000000j)	 (2.308911+0.000000j)
 (1377.108434+0.000000j)	 (1.420000+0.000000j)	 (2.305714-0.000000j)
 (1379.518072+0.000000j)	 (1.420000+0.000000j)	 (2.302528+0.000000j)
 (1381.927711+0.000000j)	 (1.420000+0.000000j)	 (2.299352+0.000000j)
 (1384.337349+0.000000j)	 (1.420000+0.000000j)	 (2.296188-0.000000j)
 (1386.746988+0.000000j)	 (1.420000+0.000000j)	 (2.293034-0.000000j)
 (1389.156627+0.000000j)	 (1.420000+0.000000j)	 (2.289893+0.000000j)
 (1391.566265+0.000000j)	 (1.420000+0.000000j)	 (2.286763-0.000000j)
