# wavelength[nm] / analyte_index / effective index supermode 1 lossy
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.410907+0.000848j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.407471+0.000879j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.404037+0.000911j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.400605+0.000944j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.397176+0.000979j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.393748+0.001015j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.390324+0.001052j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.386901+0.001090j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.383482+0.001130j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.380065+0.001171j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.376652+0.001214j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.373241+0.001259j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.369833+0.001304j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.366429+0.001352j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.363028+0.001401j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.359631+0.001452j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.356237+0.001505j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.352847+0.001560j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.349461+0.001616j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.346079+0.001675j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.342701+0.001735j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.339327+0.001798j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.335958+0.001863j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.332593+0.001930j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.329233+0.002000j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.325877+0.002072j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.322527+0.002147j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.319181+0.002224j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.315840+0.002304j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.312505+0.002386j)
